"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2472509-<b>T</b>,"1 x 10-7",(EA),0.6676,'-,"0.0072 unit decrease",[0.0047-0.0097],ABCA1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,9:104921949
rs7897379-<b>T</b>,"2 x 10-10",,0.5485,'-,"0.0066 unit decrease",[0.0046-0.0086],REEP3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,10:63541965
rs2068888-<b>A</b>,"5 x 10-8",,0.4625,'-,"0.0062 unit increase",[0.004-0.0084],"NIP7P1, CYP26A1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,10:93079885
rs2255141-<b>A</b>,"3 x 10-7",,0.2689,'-,"0.0064 unit increase",[0.0039-0.0089],GPAM,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,10:112174128
rs3136441-<b>T</b>,"3 x 10-7",,0.7654,'-,"0.0081 unit decrease",[0.005-0.0112],F2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:46721697
rs326214-<b>A</b>,"1 x 10-15",,0.5802,'-,"0.0092 unit decrease",[0.007-0.0114],MADD,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:47276809
rs17788930-<b>A</b>,"5 x 10-9",,0.6814,'-,"0.0068 unit increase",[0.0044-0.0092],FNBP4,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:47731223
rs12226802-<b>A</b>,"4 x 10-7",(EA),0.873,'-,"0.0098 unit decrease",[0.0061-0.0135],"OR4C16, OR4C15","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:55556832
rs174546-<b>T</b>,"2 x 10-14",,0.3557,'-,"0.0094 unit decrease",[0.007-0.0118],"FADS2, FADS1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:61802358
rs1535-<b>A</b>,"6 x 10-14",,0.6469,'-,"0.0086 unit increase",[0.0064-0.0108],FADS2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:61830500
rs10790162-<b>A</b>,"2 x 10-30",,0.1149,'-,"0.023 unit decrease",[0.019-0.027],BUD13,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:116768388
rs964184-<b>C</b>,"6 x 10-49",,0.8289,'-,"0.0209 unit increase",[0.018-0.024],ZPR1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,11:116778201
rs7134375-<b>A</b>,"4 x 10-6",(EA),0.4375,'-,"0.0061 unit increase",[0.0036-0.0086],PDE3A,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:20320824
rs2241210-<b>A</b>,"1 x 10-11",,0.4631,'-,"0.0071 unit decrease",[0.0051-0.0091],UBE3B,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:109512339
rs7134594-<b>T</b>,"5 x 10-12",,0.5376,'-,"0.0076 unit increase",[0.0054-0.0098],MMAB,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:109562388
rs4759375-<b>T</b>,"3 x 10-7",,0.1467,'-,"0.0091 unit increase",[0.0056-0.0126],SBNO1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:123311691
rs4765127-<b>T</b>,"5 x 10-14",(EA),0.3342,'-,"0.0099 unit increase",[0.0074-0.0124],"RFLNA, ZNF664","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:123975620
rs838876-<b>A</b>,"5 x 10-9",,0.3755,'-,"0.0069 unit increase",[0.0045-0.0093],SCARB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:124775342
rs838880-<b>T</b>,"3 x 10-9",,0.5902,'-,"0.0069 unit decrease",[0.0045-0.0093],SCARB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:124777047
rs10773105-<b>T</b>,"7 x 10-9",,0.577,'-,"0.0066 unit decrease",[0.0044-0.0088],SCARB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,12:124799220
rs6573662-<b>?</b>,"3 x 10-20",(conditional),NR,'-,"0.188 unit increase",[0.15-0.23],'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,14:66302691
rs1457436-<b>?</b>,"2 x 10-67",(conditional),NR,'-,"0.506 unit decrease",[0.45-0.56],CCDC196,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,14:66378025
rs6573723-<b>?</b>,"2 x 10-34",(conditional),NR,'-,"0.303 unit increase",[0.25-0.35],GPHN,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,14:66769004
rs2070895-<b>?</b>,"8 x 10-10",,NR,'-,"0.061 unit increase",[0.041-0.081],"LIPC, ALDH1A2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,15:58431740
rs247616-<b>?</b>,"1 x 10-41",,NR,'-,"0.139 unit increase",[0.12-0.16],"HERPUD1, CETP","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,16:56955678
rs17766692-<b>?</b>,"8 x 10-9",,NR,'-,"0.071 unit decrease",[0.047-0.095],DOCK6,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,19:11231923
rs147122512-<b>?</b>,"2 x 10-8",(conditional),NR,'-,"0.052 unit decrease",[0.034-0.07],SGSM3,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008592,22:40394561
rs11553746-<b>T</b>,"2 x 10-7",,0.35,'-,"0.016 unit increase",'-,ACP1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,2:272203
rs17189743-<b>A</b>,"9 x 10-7",,0.032,'-,"0.041 unit increase",'-,"TSPYL6, ACYP2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,2:54255416
rs75862065-<b>A</b>,"3 x 10-6",,0.3,'-,"0.024 unit increase",'-,PRKRA,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,2:178444438
rs146179438-<b>A</b>,"5 x 10-12",,0.024,'-,"0.067 unit decrease",'-,CDC25A,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,3:48187876
rs28932178-<b>C</b>,"4 x 10-9",,0.15,'-,"0.025 unit increase",'-,NSD1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,5:177210575
rs35169799-<b>T</b>,"6 x 10-12",,0.069,'-,"0.04 unit decrease",'-,PLCB3,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,11:64263769
rs622082-<b>G</b>,"3 x 10-8",,0.31,'-,"0.018 unit decrease",'-,IGHMBP2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,11:68936491
rs78074706-<b>A</b>,"2 x 10-9",,0.025,'-,"0.057 unit decrease",'-,ANKS3,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,16:4705107
rs76116020-<b>G</b>,"1 x 10-8",,0.038,'-,"0.043 unit decrease",'-,TMED6,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,16:69351738
rs2074158-<b>C</b>,"8 x 10-7",,0.17,'-,"0.022 unit decrease",'-,DHX58,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,17:42105145
rs1011731-<b>A</b>,"3 x 10-8",,0.57,'-,"0.017 unit increase",'-,"DNM3, PIGC","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,1:172377408
rs2785990-<b>T</b>,"3 x 10-7",,0.67,'-,"0.016 unit decrease",'-,"LYPLAL1-AS1, ZC3H11B","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,1:219514090
rs900399-<b>G</b>,"2 x 10-12",,0.4,'-,"0.021 unit increase",'-,"LEKR1, LINC00880","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,3:157080943
rs9816226-<b>T</b>,"7 x 10-12",,0.83,'-,"0.027 unit increase",'-,DGKG,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,3:186116710
rs12055786-<b>T</b>,"1 x 10-9",,0.42,'-,"0.02 unit decrease",'-,RGS17,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,6:153109990
rs4871137-<b>T</b>,"3 x 10-13",,0.66,'-,"0.024 unit decrease",'-,SNTB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,8:120856311
rs10968576-<b>G</b>,"3 x 10-8",,0.31,'-,"0.018 unit decrease",'-,LINGO2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,9:28414341
rs7076938-<b>T</b>,"2 x 10-8",,0.73,'-,"0.019 unit increase",'-,"NHLRC2, ADRB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,10:114029616
rs16928809-<b>A</b>,"4 x 10-8",,0.09,'-,"0.029 unit decrease",'-,SLC22A18,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,11:2915722
rs1037378-<b>A</b>,"6 x 10-9",,0.54,'-,"0.017 unit decrease",'-,PDE3B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,11:14830944
rs746463-<b>T</b>,"2 x 10-8",,0.68,'-,"0.018 unit decrease",'-,"ZC3H12C, RDX","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,11:110125219
rs7136716-<b>G</b>,"7 x 10-9",,0.12,'-,"0.026 unit increase",'-,"GAPDHP31, CD163","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,12:7538538
rs13379043-<b>C</b>,"2 x 10-9",,0.27,'-,"0.02 unit increase",'-,MIDEAS,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009148,14:73783423
rs1689797-<b>A</b>,"2 x 10-6",,0.3027,'-,"0.0054 unit decrease",[0.0032-0.0076],LINC01344,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:182181843
rs1689800-<b>A</b>,"9 x 10-6",(EA),0.6487,'-,"0.006 unit increase",[0.0033-0.0087],LINC01344,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:182199750
rs4846914-<b>A</b>,"1 x 10-13",(EA),0.6066,'-,"0.0099 unit increase",[0.0074-0.0124],GALNT2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:230159944
rs1042034-<b>T</b>,"1 x 10-21",(EA),0.7884,'-,"0.015 unit decrease",[0.012-0.018],APOB,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,2:21002409
rs12328675-<b>T</b>,"6 x 10-10",,0.8665,'-,"0.0102 unit decrease",[0.0069-0.0135],COBLL1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,2:164684290
rs7607980-<b>T</b>,"2 x 10-10",,0.8674,'-,"0.0105 unit decrease",[0.0072-0.0138],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,"Mapping not available"
rs1047891-<b>A</b>,"3 x 10-7",,0.3207,'-,"0.0062 unit decrease",[0.0038-0.0086],CPS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,2:210675783
rs1515110-<b>T</b>,"2 x 10-6",,0.6352,'-,"0.0054 unit decrease",[0.0032-0.0076],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,2:226257500
rs10019888-<b>A</b>,"2 x 10-7",,0.8233,'-,"0.0077 unit increase",[0.0048-0.0106],LINC02357,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,4:26061368
rs13107325-<b>T</b>,"2 x 10-6",,0.0723,'-,"0.0123 unit decrease",[0.0072-0.0174],SLC39A8,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,4:102267552
rs998584-<b>A</b>,"3 x 10-8",,0.4489,'-,"0.0069 unit decrease",[0.0044-0.0094],"LINC02537, VEGFA","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,6:43790159
rs1936800-<b>T</b>,"2 x 10-8",,0.5168,'-,"0.0062 unit decrease",[0.004-0.0084],RSPO3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,6:127114919
rs9491696-<b>C</b>,"5 x 10-7",,0.526,'-,"0.0055 unit increase",[0.0033-0.0077],RSPO3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,6:127131494
rs605066-<b>T</b>,"4 x 10-8",(EA),0.5881,'-,"0.0069 unit increase",[0.0044-0.0094],"ATP5PBP6, LINC01625","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,6:139508529
rs634869-<b>T</b>,"4 x 10-8",(EA),0.4116,'-,"0.007 unit decrease",[0.0045-0.0095],LINC01625,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,6:139510620
rs17145738-<b>T</b>,"6 x 10-8",(EA),0.126,'-,"0.0108 unit increase",[0.0069-0.0147],TBL2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,7:73568544
rs4731702-<b>T</b>,"1 x 10-14",,0.4367,'-,"0.0085 unit increase",[0.0063-0.0107],"H4P1, KLF14","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,7:130748625
rs3996352-<b>A</b>,"2 x 10-15",,0.5568,'-,"0.0084 unit decrease",[0.0062-0.0106],"H4P1, KLF14","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,7:130760175
rs9987289-<b>A</b>,"1 x 10-20",,0.1176,'-,"0.0168 unit decrease",[0.013-0.02],"RNU6-526P, RNU6-1151P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:9325848
rs4240624-<b>A</b>,"7 x 10-21",,0.8828,'-,"0.0169 unit increase",[0.013-0.02],"RNU6-1151P, RNU6-526P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:9326721
rs268-<b>A</b>,"3 x 10-20",(EA),0.9796,'-,"0.0505 unit increase",[0.04-0.061],LPL,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:19956018
rs12678919-<b>A</b>,"1 x 10-52",,0.8963,'-,"0.0267 unit decrease",[0.023-0.03],LPL,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:19986711
rs894210-<b>A</b>,"2 x 10-37",,0.5531,'-,"0.0139 unit increase",[0.012-0.016],LPL,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:20008332
rs4871137-<b>T</b>,"8 x 10-6",,0.6134,'-,"0.0053 unit decrease",[0.0029-0.0077],SNTB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:120856311
rs2980885-<b>A</b>,"3 x 10-7",(EA),0.7763,'-,"0.008 unit increase",[0.0049-0.0111],TRIB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,8:125462064
rs12144063-<b>?</b>,"6 x 10-6",,NR,'-,"0.0056 unit decrease",[0.0031-0.0081],EYA3,"HDL cholesterol levels in non smokers","high density lipoprotein cholesterol measurement","smoking status measurement",GCST008680,1:28079536
rs10937241-<b>?</b>,"2 x 10-7","(EA, trans-ethnic)",NR,'-,"0.0094 unit decrease",[0.0059-0.0129],ETV5,"HDL cholesterol levels in non smokers","high density lipoprotein cholesterol measurement","smoking status measurement",GCST008680,3:186104985
rs77810251-<b>?</b>,"6 x 10-11",(African),NR,'-,"0.0549 unit increase",[0.038-0.071],"PNPT1P2, PTPRZ1","HDL cholesterol levels in never smokers","high density lipoprotein cholesterol measurement","smoking status measurement",GCST008684,7:121864095
rs12144063-<b>?</b>,"3 x 10-7",,NR,'-,"0.0059 unit decrease",[0.0035-0.0083],EYA3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:28079536
rs10937241-<b>?</b>,"8 x 10-7","(EA, trans-ethnic)",NR,'-,"0.0083 unit decrease",[0.005-0.0116],ETV5,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,3:186104985
rs34311866-<b>?</b>,"5 x 10-6",,NR,'-,"0.0078 unit decrease",[0.0045-0.0111],TMEM175,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,4:958159
rs12748152-<b>T</b>,"2 x 10-6",(EA),0.0804,'-,"0.0122 unit decrease",[0.0071-0.0173],"RN7SL165P, PIGV","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:26811902
rs4660293-<b>A</b>,"2 x 10-6",,0.787,'-,"0.0068 unit increase",[0.0041-0.0095],PABPC4,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:39562508
rs12133576-<b>A</b>,"5 x 10-8",,0.4224,'-,"0.006 unit increase",[0.0038-0.0082],DR1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:93350843
rs646776-<b>T</b>,"2 x 10-7",(EA),0.7762,'-,"0.008 unit decrease",[0.0049-0.0111],"PSRC1, CELSR2","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST008685,1:109275908
rs17482753-<b>T</b>,"3 x 10-18",(HDL),0.1241,'-,"0.04232 unit increase",NR,LPL,Cholesterol,"high density lipoprotein cholesterol measurement",'-,GCST010060,8:19975135
rs16940212-<b>T</b>,"2 x 10-18",(HDL),0.3414,'-,"0.02988 unit increase",NR,ALDH1A2,Cholesterol,"high density lipoprotein cholesterol measurement",'-,GCST010060,15:58401821
rs1038143-<b>A</b>,"3 x 10-7",,0.309,'-,"4.63 z score decrease",NR,MGAT1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST011418,5:180786878
rs328733-<b>T</b>,"6 x 10-7",,0.788,'-,"4.7 z score decrease",NR,"TBC1D15, RAB21","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST011418,12:71803794
rs10438284-<b>A</b>,"9 x 10-7",,0.286,'-,"5.07 z score decrease",NR,ALDH1A2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST011418,15:58337225
rs817687-<b>C</b>,"9 x 10-6",,0.986,'-,"4.72 z score decrease",NR,"LINC01718, CDH4","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST011418,20:61178299
rs12708980-<b>?</b>,"2 x 10-6",,NR,1.399,'-,[1.218-1.606],CETP,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,16:56978467
rs662799-<b>G</b>,"2 x 10-16",,0.284,1.472,'-,[1.342-1.614],"APOA5, APOA4","Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,11:116792991
rs4775041-<b>?</b>,"2 x 10-8",,0.783,1.3947002,'-,[1.24-1.56],ALDH1A2,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,15:58382496
rs3764261-<b>?</b>,"5 x 10-17",,0.173,1.8083184,'-,[1.57-2.08],"HERPUD1, CETP","Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,16:56959412
rs11986942-<b>?</b>,"5 x 10-7",,NR,1.344086,'-,[1.2-1.51],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:20009934
rs17411031-<b>?</b>,"2 x 10-7",,NR,1.3623978,'-,[1.21-1.53],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:19994799
rs17411126-<b>?</b>,"4 x 10-7",,NR,1.347709,'-,[1.2-1.51],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:19997761
rs17489282-<b>?</b>,"3 x 10-7",,NR,1.3513513,'-,[1.2-1.52],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:19995007
rs1837842-<b>?</b>,"6 x 10-7",,NR,1.3422818,'-,[1.2-1.51],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:20010779
rs1919484-<b>?</b>,"5 x 10-7",,NR,1.3422818,'-,[1.2-1.51],'-,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,"Mapping not available"
rs4922117-<b>?</b>,"3 x 10-7",,NR,1.3513513,'-,[1.2-1.52],LPL,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:19995075
rs7013777-<b>?</b>,"2 x 10-6",,NR,1.3210039,'-,[1.18-1.48],"LPL, RPL30P9","Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:20020845
rs7461115-<b>?</b>,"8 x 10-7",,NR,1.3422818,'-,[1.19-1.51],"RPL30P9, LPL","Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,8:20014029
rs765547-<b>?</b>,"5 x 10-7",,NR,1.3422818,'-,[1.2-1.51],'-,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,"Mapping not available"
rs16940170-<b>?</b>,"8 x 10-6",,NR,1.2610341,'-,[1.14-1.39],ALDH1A2,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,15:58392083
rs16940212-<b>?</b>,"4 x 10-6",,NR,1.2562814,'-,[1.14-1.38],ALDH1A2,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,15:58401821
rs495348-<b>?</b>,"8 x 10-6",,NR,1.2594458,'-,[1.14-1.39],ALDH1A2,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009661,15:58395591
rs2075291-<b>A</b>,"4 x 10-8",,0.065,2.042,'-,[1.583-2.633],APOA5,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009656,11:116790676
rs10468017-<b>?</b>,"7 x 10-6",,0.775,1.6025641,'-,[1.3-1.97],ALDH1A2,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009656,15:58386313
rs247616-<b>?</b>,"8 x 10-6",,0.823,1.7035774,'-,[1.35-2.16],"HERPUD1, CETP","Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009656,16:56955678
rs6589566-<b>?</b>,"1 x 10-14",,NR,1.482,'-,[1.341-1.637],ZPR1,"Low HDL-cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST009656,11:116781707
rs72729582-<b>A</b>,"2 x 10-11",,0.927034,'-,"0.0250334 unit decrease",[0.018-0.032],RAD51B,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:68682655
rs2910949-<b>T</b>,"2 x 10-11",,0.645112,'-,"0.0134098 unit decrease",[0.0095-0.0173],LINC02104,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:39522379
rs67344323-<b>T</b>,"2 x 10-11",,0.743768,'-,"0.0145699 unit increase",[0.01-0.019],LINC01414,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:63740903
rs2204886-<b>T</b>,"2 x 10-11",,0.479697,'-,"0.0127576 unit increase",[0.009-0.0165],RFX4,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:106734312
rs74500135-<b>T</b>,"2 x 10-11",,0.990154,'-,"0.0670791 unit decrease",[0.047-0.087],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:103841535
rs11688682-<b>G</b>,"2 x 10-11",,0.729164,'-,"0.0147911 unit decrease",[0.01-0.019],"LINC01101, Y_RNA","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:120590036
rs16969990-<b>C</b>,"3 x 10-11",,0.929705,'-,"0.0248864 unit decrease",[0.018-0.032],SKAP1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:48153529
rs11687520-<b>T</b>,"3 x 10-11",,0.829268,'-,"0.0169198 unit decrease",[0.012-0.022],"RAPGEF4, MAP3K20","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:173062043
rs1663626-<b>C</b>,"3 x 10-11",,0.600726,'-,"0.0129921 unit decrease",[0.0092-0.0168],"LINC02608, PPP2R5A","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:212249225
rs13066793-<b>A</b>,"3 x 10-11",,0.909883,'-,"0.0220822 unit decrease",[0.016-0.029],VGLL3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:86988393
rs62092069-<b>G</b>,"4 x 10-11",,0.628841,'-,"0.0130536 unit decrease",[0.0092-0.0169],RIT2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,18:43155566
rs13144151-<b>A</b>,"4 x 10-11",,0.149999,'-,"0.0178651 unit decrease",[0.013-0.023],SMAD1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:145482013
rs838777-<b>C</b>,"4 x 10-11",,0.861738,'-,"0.0183011 unit decrease",[0.013-0.024],"KNTC1, HCAR2","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:122674715
rs3733890-<b>G</b>,"4 x 10-11",,0.707326,'-,"0.0138142 unit increase",[0.0097-0.0179],"DMGDH, BHMT","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:79126136
rs34695471-<b>G</b>,"4 x 10-11",,0.934125,'-,"0.0258355 unit decrease",[0.018-0.034],SSH3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:67308593
rs55652051-<b>A</b>,"5 x 10-11",,0.77056,'-,"0.015059 unit increase",[0.011-0.02],THOC5,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,22:29509288
rs17740942-<b>T</b>,"5 x 10-11",,0.884739,'-,"0.0200846 unit decrease",[0.014-0.026],"LINC00536, TRPS1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:115879134
rs28712486-<b>C</b>,"5 x 10-11",,0.769172,'-,"0.0148907 unit decrease",[0.01-0.019],KIF27,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:83866958
rs11254464-<b>T</b>,"6 x 10-11",,0.576895,'-,"0.0126591 unit decrease",[0.0089-0.0164],VIM-AS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,10:17223448
rs13042367-<b>A</b>,"7 x 10-11",,0.721412,'-,"0.0139068 unit decrease",[0.0097-0.0181],NCOA3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:47590314
rs12045101-<b>C</b>,"7 x 10-11",,0.759138,'-,"0.014553 unit increase",[0.01-0.019],GSTM5,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:109725029
rs12975319-<b>G</b>,"7 x 10-11",,0.698154,'-,"0.01363 unit increase",[0.0095-0.0177],NFIC,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:3414090
